date,time,latitude,longitude,depth,magnitude,som_zone,global_cluster,is_aftershock
1984-12-30,1984-12-30 12:40:16.470,-36.55,177.53,12.0,5.025,6,30,1
1984-12-30,1984-12-30 14:59:11.230,-36.53,177.0,12.0,5.225,6,30,1
1984-12-30,1984-12-30 15:06:47.850,-36.63,177.58,12.0,5.5,6,30,1
1984-12-30,1984-12-30 16:31:51.330,-36.62,177.53999,12.0,5.125,6,30,1
1984-12-30,1984-12-30 20:07:04.800,-36.72,177.61,12.0,5.133,6,30,1
1984-12-30,1984-12-30 20:26:22.460,-36.57,177.47,12.0,5.4,6,30,1
1984-12-30,1984-12-30 20:59:55.070,-36.65,177.57001,12.0,5.7,6,30,1
1984-12-30,1984-12-30 21:03:17.720,-36.71,177.48,12.0,4.967,6,30,1
1984-12-30,1984-12-30 21:23:47.520,-36.74,177.45,12.0,5.0,6,30,1
1984-12-30,1984-12-30 21:28:36.880,-36.57,177.42999,12.0,5.2,6,30,1
1984-12-30,1984-12-30 21:36:20.140,-36.56,177.49001,12.0,4.96,6,30,1
1984-12-30,1984-12-30 21:36:54.860,-36.59,177.55,12.0,6.7,6,30,1
1984-12-30,1984-12-30 21:43:50.770,-36.59,177.64999,12.0,4.95,6,30,1
1984-12-30,1984-12-30 21:56:13.730,-36.88,177.39999,12.0,5.1,6,30,1
1984-12-30,1984-12-30 22:21:45.200,-36.68,177.45,12.0,4.933,6,30,1
1984-12-30,1984-12-30 22:22:21.950,-36.6,177.60001,12.0,5.367,6,30,1
1984-12-30,1984-12-30 22:41:40.980,-36.7,177.60001,12.0,5.1,6,30,1
1984-12-31,1984-12-31 00:52:54.140,-36.5,177.5,12.0,5.15,6,30,1
1984-12-31,1984-12-31 04:53:01.650,-36.64,177.42,12.0,4.917,6,30,1
1984-12-31,1984-12-31 05:51:52.780,-36.63,177.55,12.0,5.083,6,30,1
1984-12-31,1984-12-31 07:42:03.540,-36.89,177.41,12.0,5.08,6,30,1
1984-12-31,1984-12-31 09:59:07.950,-36.96,177.36,12.0,5.46,6,30,1
1984-12-31,1984-12-31 16:03:01.300,-36.93,177.37,12.0,4.933,6,30,1
1984-12-31,1984-12-31 20:45:11.250,-36.97,177.37,12.0,5.025,6,30,1
1985-01-01,1985-01-01 05:12:46.590,-36.58,177.5,12.0,5.133,6,30,1
1985-01-01,1985-01-01 16:40:24.870,-36.6,177.48,12.0,5.02,6,30,1
1985-01-01,1985-01-01 16:48:06.970,-36.54,177.50999,12.0,5.017,6,30,1
1985-01-02,1985-01-02 12:59:01.500,-36.64,177.55,12.0,5.35,6,30,1
1985-01-02,1985-01-02 13:39:54.430,-36.62,177.58,12.0,5.24,6,30,1
1985-01-02,1985-01-02 20:25:22.340,-36.93,177.33,12.0,5.3,6,30,1
1985-01-02,1985-01-02 21:08:56.570,-36.55,177.53999,12.0,5.3,6,30,1
1985-01-02,1985-01-02 22:15:52.380,-36.93,177.36,12.0,5.283,6,30,1
1985-01-03,1985-01-03 16:46:08.810,-36.6,177.63,12.0,5.017,6,30,1
1985-01-05,1985-01-05 08:48:30.210,-37.08,177.10001,12.0,4.867,12,-1,0
1985-01-05,1985-01-05 11:00:54.300,-36.61,177.57001,12.0,4.917,6,-1,0
1985-01-06,1985-01-06 17:09:53.820,-36.59,177.61,12.0,5.133,6,31,1
1985-01-06,1985-01-06 18:32:05.470,-36.61,177.57001,12.0,5.6,6,31,1
1985-01-06,1985-01-06 18:45:20.710,-36.64,177.62,12.0,5.15,6,31,1
1985-01-06,1985-01-06 19:30:47.250,-36.63,177.53,12.0,5.52,6,31,1
1985-01-08,1985-01-08 00:48:14.090,-36.59,177.52,12.0,4.883,6,32,1
1985-01-08,1985-01-08 07:41:46.560,-36.54,177.62,12.0,5.7,6,32,1
1985-01-08,1985-01-08 09:57:30.700,-36.57,177.61,12.0,5.275,6,32,1
1985-01-08,1985-01-08 11:22:26.320,-36.6,177.66,12.0,5.05,6,32,1
1985-01-08,1985-01-08 12:11:39.300,-37.1,177.37,12.0,5.16,6,32,1
1985-01-09,1985-01-09 04:11:04.670,-36.49,177.62,12.0,4.917,6,32,1
1985-01-10,1985-01-10 11:43:31.430,-36.56,177.55,12.0,5.22,6,33,1
1985-01-10,1985-01-10 12:17:39.000,-36.57,177.50999,12.0,5.24,6,33,1
1985-01-10,1985-01-10 14:15:12.880,-36.48,177.55,12.0,5.0,6,33,1
1985-01-10,1985-01-10 15:30:46.790,-36.45,177.61,12.0,5.629,6,33,1
1985-01-10,1985-01-10 21:39:01.570,-36.93,177.35001,12.0,5.05,6,33,1
1985-01-11,1985-01-11 04:50:09.230,-36.5,177.62,12.0,5.267,6,33,1
1985-01-13,1985-01-13 01:08:24.250,-36.43,177.5,12.0,5.55,6,34,1
1985-01-13,1985-01-13 16:01:00.620,-36.74,177.37,12.0,5.4,6,34,1
1985-01-14,1985-01-14 04:46:42.470,-36.58,177.39,12.0,5.175,6,34,1
1985-01-17,1985-01-17 18:22:55.260,-36.74,177.41,12.0,4.9,6,-1,0
1985-01-18,1985-01-18 21:35:53.950,-36.46,177.36,12.0,4.9,6,-1,0
1985-01-21,1985-01-21 19:37:51.470,-36.6,177.52,12.0,4.9,6,-1,0
1985-01-23,1985-01-23 19:02:03.960,-38.0,177.47,40.0,5.5,13,-1,0
1985-01-31,1985-01-31 04:33:01.500,-46.11,165.05,33.0,6.2,31,-1,0
1985-02-14,1985-02-14 00:28:49.880,-36.34,179.53999,137.0,4.967,9,-1,0
1985-03-07,1985-03-07 07:57:26.380,-40.59,173.31,178.0,5.46,27,-1,0
1985-03-23,1985-03-23 22:32:12.590,-36.19,177.88,246.0,5.243,10,-1,0
1985-04-04,1985-04-04 17:32:42.500,-37.76,177.5,51.0,5.057,12,-1,0
1985-04-07,1985-04-07 16:42:27.680,-36.71,177.63,171.0,5.29,15,-1,0
1985-04-11,1985-04-11 11:55:10.600,-35.75,179.55,192.0,5.9,9,-1,0
1985-04-25,1985-04-25 23:27:07.500,-40.15,174.97,16.0,4.964,18,-1,0
