date,time,latitude,longitude,depth,magnitude
1988-03-21,02:10:15.52,-45.03607,167.57127,89.6938,4.926
1988-03-31,22:58:13.05,-33.94405,-177.77042,33.0,4.891
1988-04-02,07:17:14.10,-38.5517,175.85416,147.1458,5.978
1988-04-12,05:03:44.92,-39.1422,178.82402,32.7614,5.5
1988-04-16,02:32:31.97,-46.37963,166.60275,18.3011,4.912
1988-04-17,18:24:20.26,-37.74876,176.28711,310.9901,4.917
1988-04-27,22:03:12.25,-37.8023,176.19217,210.6608,5.015
1988-04-29,05:16:31.44,-40.43263,173.82242,129.2962,5.502
1988-04-30,20:07:51.68,-39.33586,175.58591,116.0483,5.003
1988-05-01,08:04:59.88,-33.24308,-178.61778,33.0,4.886
1988-05-02,09:23:55.95,-34.0558,179.55193,102.5453,4.951
1988-05-04,09:14:53.13,-32.48863,-178.5746,555.9737,4.908
1988-05-04,19:49:14.81,-36.96828,176.86877,254.4194,5.112
1988-05-10,19:52:45.42,-36.40036,179.9276,84.1466,5.043
1988-05-15,18:26:17.60,-44.0116,168.56752,10.3187,5.2
1988-05-18,23:07:23.93,-38.5714,175.76711,150.0,5.1
1988-05-19,22:15:28.21,-32.89249,-179.93909,459.4095,4.886
1988-05-20,03:35:22.82,-39.98682,176.67259,28.767,5.15
1988-05-30,08:30:31.02,-32.28816,-178.88348,565.8495,5.204
1988-05-31,05:45:48.54,-40.4414,174.15674,87.1829,5.344
1988-06-02,11:58:47.11,-36.39542,-179.99918,33.0,5.3
1988-06-03,23:27:34.51,-45.11958,167.28893,73.0,6.7
1988-06-14,15:43:11.46,-44.7624,167.12132,106.2329,5.227
1988-06-20,19:07:01.52,-40.64894,176.12958,77.7331,5.051
1988-06-21,05:50:38.04,-47.53993,165.38536,33.0,4.88
1988-07-09,17:30:08.20,-39.88778,174.00488,171.0712,4.855
1988-07-19,02:58:16.33,-44.96914,167.47607,136.5371,5.5
1988-07-30,23:07:24.27,-36.97829,176.94495,258.3864,5.253
1988-08-04,08:36:06.36,-38.67935,176.15224,92.6227,5.061
1988-08-24,01:54:44.36,-39.29243,175.00374,127.4,4.967
1988-08-27,05:24:31.14,-34.88443,-179.62842,181.0,5.416
1988-09-03,18:11:50.39,-33.87799,-179.35838,387.2103,4.898
1988-09-06,05:54:01.25,-40.41039,176.80899,64.3224,5.082
1988-09-08,22:27:40.71,-35.39362,-179.07458,131.4213,5.395
1988-10-06,17:23:15.42,-45.26891,167.71114,143.4062,5.003
1988-10-13,12:39:13.61,-38.06279,176.16623,189.5223,5.029
