event,date,Time,latitude,longitude,depth,magnitude,DateTime,time,Year,Month,Day,Hour,Minute,Second,i+,N+,T+,R+,dm+,n_child,n_parent,eventdateTime,x_km,y_km,time_days,cluster_id,cluster_probability
32641,1991-05-06,06:39:03.27,-38.63196,178.6109,45.8594,4.122,1991-05-06 06:39:03.270,4142.982611921297,1991,5,6,6,39,3.27,32639,2.143913883628553e-05,0.001499657641484,0.0142960221341379,-0.969,0.2488730413055535,0.0414788402175922,1991-05-06 06:39:03.270,2045.5678091689733,-146.17379605473712,4142.883318865741,157,0.9943065538695367
38640,1992-02-18,10:27:11.30,-39.90636,174.01866,121.685,5.895,1992-02-18 10:27:11.300,4431.141038194444,1992,2,18,10,27,11.3,37657,6.972751308149225e-06,0.299853103815805,2.325389071987888e-05,-1.5949999999999998,12.443652065277677,0.2903518815231458,1992-02-18 10:27:11.300,1626.946751537465,-190.44425033408257,4431.0417451388885,180,1.0
38893,1992-03-02,09:05:56.92,-40.432,176.59865,36.9407,5.5,1992-03-02 09:05:56.920,4444.084621759259,1992,3,2,9,5,56.92,38884,1.1358090630253296e-06,0.0025724679661468,0.0004415250560832,-1.5870000000000002,6.926966316337906,0.165915360870369,1992-03-02 09:05:56.920,1827.3799117137514,-298.52639066616246,4443.985328703703,176,1.0
44370,1992-08-21,17:39:55.75,-45.11485,167.48454,108.1526,4.714,1992-08-21 17:39:55.750,4616.441552662037,1992,8,21,17,39,55.75,44367,2.4481217244381066e-06,0.0022426922199155,0.0010915995082598,-2.0490000000000004,1.2028863663101752,0.0414788402175922,1992-08-21 17:39:55.750,992.3824210748476,-665.9899015651223,4616.342259606482,89,0.8911285742293714
39587,1992-03-25,17:27:31.85,-37.24556,177.20511,12.0,5.6,1992-03-25 17:27:31.850,4467.432942708333,1992,3,25,17,27,31.85,39585,2.675951475601305e-06,0.000140693192995,0.0190197650549866,-1.1839999999999993,6.802529795685129,0.165915360870369,1992-03-25 17:27:31.850,1964.8319885513988,36.84350408834896,4467.333649652777,209,1.0
39858,1992-03-30,07:02:52.38,-43.04293,171.22812,5.0,5.5,1992-03-30 07:02:52.380,4471.999152546296,1992,3,30,7,2,52.38,39839,5.99322570159089e-07,0.0174847211136169,3.4276930484887344e-05,-2.841,9.58161209026381,0.0829576804351845,1992-03-30 07:02:52.380,1327.7274039997444,-487.9076999530986,4471.899859490741,138,1.0
41293,1992-05-16,17:57:13.49,-38.2338,178.36653,23.7078,5.8,1992-05-16 17:57:13.490,4519.453563541667,1992,5,16,17,57,13.49,41291,9.995539786729124e-06,0.0024931093533046,0.0040092664902482,-3.02,17.918858973999853,0.0414788402175922,1992-05-16 17:57:13.490,2036.4828136213152,-97.1282993847733,4519.354270486111,208,1.0
42451,1992-06-21,17:43:09.43,-37.58035,176.87488,5.0,6.3,1992-06-21 17:43:09.430,4555.443794328704,1992,6,21,17,43,9.43,42443,1.610567219002726e-05,0.0040200346222847,0.0040063516121843,-2.2909999999999995,30.486947559930304,0.0829576804351845,1992-06-21 17:43:09.430,1927.5044145537595,7.384888554805092,4555.344501273148,210,0.5492036928936543
44457,1992-08-25,11:28:25.63,-37.52079,177.06569,12.0,4.755,1992-08-25 11:28:25.630,4620.183565162037,1992,8,25,11,28,25.63,42749,4.910498650518085e-07,0.2004966105984003,2.4491679115483576e-06,0.1059999999999998,0.7051402836990682,0.7466191239166605,1992-08-25 11:28:25.630,1945.4608858846264,9.776805611890062,4620.084272106482,211,1.0
53320,1993-08-10,09:46:39.92,-38.5284,177.9095,45.5341,6.2,1993-08-10 09:46:39.920,4970.112897222222,1993,8,10,9,46,39.92,52853,2.2413762957182182e-06,0.0001169050407201,0.0191726231983705,0.5999999999999996,34.676310421907125,141.56728166264236,1993-08-10 09:46:39.920,1989.496145008734,-118.93986412963407,4970.0136041666665,199,0.9463440239429893
52854,1993-08-10,00:51:51.60,-45.21383,166.70848,5.0,6.8,1993-08-10 00:51:51.600,4969.74150462963,1993,8,10,0,51,51.6,20554,2.883100687035377e-05,0.7748171149842702,3.721008004700448e-05,-0.3999999999999994,141.56728166264236,17.835901293564667,1993-08-10 00:51:51.600,930.3001759249412,-668.2392477376806,4969.642211574074,101,0.1745761263201511
56366,1993-08-26,01:29:58.64,-35.59806,178.29837,33.0,5.6,1993-08-26 01:29:58.640,4985.767975000001,1993,8,26,1,29,58.64,56358,1.0102510071028384e-07,0.0003673821318408,0.0002749864295361,-0.9129999999999994,2.0324631706620204,0.2073942010879612,1993-08-26 01:29:58.640,2104.7364113300364,192.37764316883806,4985.668681944445,136,1.0
56838,1993-09-03,08:52:29.89,-42.91108,173.04988,15.9239,5.163,1993-09-03 08:52:29.890,4994.075281134259,1993,9,3,8,52,29.89,56755,4.706557657699635e-08,0.0042424418810002,1.1093982639521712e-05,-0.1699999999999999,2.94499765544905,0.829576804351845,1993-09-03 08:52:29.890,1476.3753252503222,-502.84229803436915,4993.975988078704,140,1.0
60560,1993-12-28,02:54:19.06,-43.36768,170.85031,12.0,4.327,1993-12-28 02:54:19.060,5109.826544675926,1993,12,28,2,54,19.06,52853,0.0001559054765503,0.0440952448636543,0.0035356528131866,2.473,0.331830721740738,141.56728166264236,1993-12-28 02:54:19.060,1290.7009068655332,-517.9206136240251,5109.72725162037,47,1.0
62021,1994-02-19,06:43:39.23,-36.75023,177.13353,12.0,4.943,1994-02-19 06:43:39.230,5162.985805902777,1994,2,19,6,43,39.23,61939,2.188432760752124e-07,0.0180740149816312,1.2108171665101742e-05,-0.8019999999999996,0.5807037630462916,0.0829576804351845,1994-02-19 06:43:39.230,1971.896467470155,92.60407645904665,5162.886512847222,188,1.0
62684,1994-03-14,20:23:16.08,-45.13848,166.29599,12.0,4.335,1994-03-14 20:23:16.080,5186.554982407408,1994,3,14,20,23,16.08,62492,2.6458549447578886e-06,0.067719424077545,3.907084238826571e-05,-0.4180000000000001,0.2488730413055535,0.1244365206527767,1994-03-14 20:23:16.080,899.3102337856101,-655.5236514554438,5186.455689351852,100,1.0
76995,1994-12-20,14:23:03.19,-40.50689,174.989,54.9361,4.707,1994-12-20 14:23:03.190,5467.304833217592,1994,12,20,14,23,3.19,76130,3.5792931224175987e-06,0.0096474647734363,0.0003710086749705,0.5579999999999998,1.2028863663101752,4.23084170219441,1994-12-20 14:23:03.190,1692.7456533492932,-274.5080602628004,5467.205540162037,175,0.9554671901542834
64918,1994-06-18,03:25:14.60,-43.00782,171.47618,4.2668,6.7,1994-06-18 03:25:14.600,5281.848020833333,1994,6,18,3,25,14.6,64908,3.6076953173289617e-07,0.0314483529572554,1.1471810057056214e-05,-4.145,194.5357606205077,0.0829576804351845,1994-06-18 03:25:14.600,1348.339080306349,-487.8685872970789,5281.748727777777,133,0.5504238261696425
72841,1994-09-22,00:47:57.83,-38.12803,179.16815,26.4114,5.642,1994-09-22 00:47:57.830,5377.738798958334,1994,9,22,0,47,57.83,72839,1.897884180471287e-05,0.000107682329763,0.1762484322773718,-2.26,6.055910671768468,0.0414788402175922,1994-09-22 00:47:57.830,2107.337571469893,-104.25745032626142,5377.639505902778,214,1.0
82589,1995-03-11,00:09:54.33,-45.24256,167.25581,93.7856,5.222,1995-03-11 00:09:54.330,5547.712369560186,1995,3,11,0,9,54.33,77067,6.405144944935274e-06,0.3379716913553138,1.8951720243934472e-05,-0.6270000000000007,2.447251572837943,0.3733095619583302,1995-03-11 00:09:54.330,972.4383942924985,-677.4735787996393,5547.61307650463,92,0.888887930241498
76044,1994-12-15,11:20:19.55,-37.19873,177.52795,12.0,6.25,1994-12-15 11:20:19.550,5462.177939236111,1994,12,15,11,20,19.55,76042,1.7739396078545932e-08,0.000246736790952,7.189603143534245e-05,-1.7039999999999995,25.26061369251368,0.0829576804351845,1994-12-15 11:20:19.550,1993.8871005874307,34.84565722282566,5462.078646180556,216,0.5424554204322649
78343,1995-02-05,22:51:02.30,-37.64958,179.48859,12.0,7.15,1995-02-05 22:51:02.300,5514.657600694444,1995,2,5,22,51,2.3,78306,1.8358652538226893e-05,0.0081725062920125,0.0022463919735577,-2.8690000000000007,116.26518912991108,0.1244365206527767,1995-02-05 22:51:02.300,2148.722839342886,-59.76353596697059,5514.558307638888,215,0.9395955580970232
83401,1995-04-02,22:03:43.50,-39.25875,175.31799,5.0,4.776,1995-04-02 22:03:43.500,5570.6247442129625,1995,4,2,22,3,43.5,83399,1.117231152504136e-09,3.5742732647330382e-06,0.0003125757516997,-1.227,1.2443652065277675,0.2903518815231458,1995-04-02 22:03:43.500,1751.742302513118,-144.23161644770366,5570.525451157408,212,1.0
83860,1995-04-16,20:55:14.01,-40.24141,176.42587,57.4029,4.645,1995-04-16 20:55:14.010,5584.577180671296,1995,4,16,20,55,14.01,78342,2.7894130053845363e-05,0.0145327837330418,0.0019193934600722,2.505000000000001,1.0369710054398062,116.26518912991108,1995-04-16 20:55:14.010,1818.3211976328882,-274.12123298903936,5584.477887615741,152,0.9608997966608699
84984,1995-05-29,10:06:42.27,-42.94038,171.60197,4.0585,5.5,1995-05-29 10:06:42.270,5627.126813310186,1995,5,29,10,6,42.27,84982,6.869398057954529e-12,2.428036321113628e-07,2.829199052015768e-05,-1.982,6.180347192421245,0.0414788402175922,1995-05-29 10:06:42.270,1359.8750533506427,-482.4170356704315,5627.02752025463,134,1.0
88978,1995-11-24,09:21:10.06,-37.40749,179.50644,12.0,5.211,1995-11-24 09:21:10.060,5806.095190509259,1995,11,24,9,21,10.06,78342,1.3070501749940165e-06,0.0605752990201006,2.157727978462474e-05,1.939,0.2903518815231458,116.26518912991108,1995-11-24 09:21:10.060,2157.455640838488,-33.80622357711796,5805.995897453704,189,0.5230253360513283
91597,1996-02-28,14:23:10.88,-45.06158,167.40926,114.3676,6.193,1996-02-28 14:23:10.880,5902.304922222222,1996,2,28,14,23,10.88,91154,4.44096786299883e-06,0.1067707761574026,4.159347738047635e-05,-1.649,32.06314348819881,0.5807037630462916,1996-02-28 14:23:10.880,987.4089152902059,-659.2424477587759,5902.205629166667,98,0.9861529452391358
88778,1995-11-24,06:18:57.88,-42.95296,171.81883,7.263,6.2,1995-11-24 06:18:57.880,5805.968660648148,1995,11,24,6,18,57.88,64917,1.2105597863750425e-05,0.1857510436365267,6.517108936108254e-05,0.5,41.935107459985765,194.5357606205077,1995-11-24 06:18:57.880,1376.9686238025315,-487.21446487382366,5805.869367592592,132,0.6350614838991301
92505,1996-04-12,10:35:08.42,-42.94537,171.88081,12.0,4.279,1996-04-12 10:35:08.420,5946.146560416667,1996,4,12,10,35,8.42,88777,6.814807415145753e-07,0.0898834117571691,7.58182993048459e-06,1.9210000000000005,0.4147884021759225,41.935107459985765,1996-04-12 10:35:08.420,1382.0984642501205,-487.3647907081649,5946.047267361111,131,1.0
92950,1996-05-01,04:40:37.67,-40.43717,176.84509,48.2994,4.351,1996-05-01 04:40:37.670,5964.900371180555,1996,5,1,4,40,37.67,92946,1.4099250710799775e-06,0.0031424464642271,0.0004486711506879,-1.404,0.4147884021759225,0.0829576804351845,1996-05-01 04:40:37.670,1847.5056658459553,-304.24389936952764,5964.801078125,186,1.0
95686,1996-09-19,12:16:34.18,-42.4819,172.82445,9.4888,5.798,1996-09-19 12:16:34.180,6106.216997453704,1996,9,19,12,16,34.18,95245,3.178019886915449e-07,0.0397308404816393,7.998874044419209e-06,-0.4980000000000002,14.01984799354618,1.5761959282685056,1996-09-19 12:16:34.180,1468.346424054847,-451.9412639351925,6106.117704398149,139,1.0
115334,1998-12-29,13:45:23.89,-38.22017,176.2798,162.0662,5.741,1998-12-29 13:45:23.890,6937.278683912036,1998,12,29,13,45,23.89,108296,1.858559619821378e-05,1.0806799217888987,1.7198058207140737e-05,-1.0569999999999995,6.595135594597168,2.0324631706620204,1998-12-29 13:45:23.890,1859.7961435258023,-50.03066782782899,6937.179390856481,219,1.0
